phase,study,task,head_type,seed,status,label_fraction,head_epochs,train_loss,train_acc,test_loss,test_acc,train_mse,test_mse,test_mae,exactish_rate
phase1_pilot,study2,maze_action,classification,2,complete,0.1,8,1.3739526271820068,0.28947368264198303,1.3835073709487915,0.265625,,,,
phase1_pilot,study2,sorting_head,regression,2,complete,0.1,8,,,,,0.2879962623119354,0.27595871686935425,0.4108566343784332,0.0
