study,task,predictor,variant,damage_type,damage_level,head_type,metric,n_rows,n_seeds,mean,sd,median,q25,q75,boot_ci_low,boot_ci_high
study1,sorting,mlp,,,,,train_loss,4,4,0.4795117496202389,0.002050445337493061,0.4798202340801556,0.47879087987045443,0.4805411038299401,0.477979223554333,0.4811058727403481
study1,sorting,mlp,,,,,train_pred_loss,4,4,0.001794211772600275,0.00029109903292127835,0.00181678896478835,0.001577468302760525,0.0020335324346281002,0.0015462951171987499,0.0020421284280018
study1,sorting,mlp,,,,,train_anti_collapse,4,4,15.923918346563974,0.07132294778721858,15.94246498743693,15.9023193915685,15.964063942432404,15.864283859729769,15.972834010918934
study1,sorting,mlp,,,,,train_ac_mean_norm,4,4,0.06289585400372737,0.023362824097081476,0.0565662439912557,0.04517438728362315,0.07428771071135992,0.0449293684214353,0.08186354953795663
study1,sorting,mlp,,,,,train_ac_cov_trace,4,4,0.11703319847583768,0.11503308032506379,0.08813186362385744,0.05333348549902432,0.15183157660067081,0.036953479051589945,0.21250257454812527
study1,sorting,mlp,,,,,train_ac_cov_min_eig,4,4,7.712606242549214e-08,5.7773683178837064e-08,6.716804534789844e-08,3.0075748558289206e-08,1.1421835921510137e-07,2.9410633040072298e-08,1.2484149181091198e-07
study1,sorting,mlp,,,,,train_ac_cov_max_eig,4,4,0.11173178534954784,0.11570683572766406,0.0817861463874578,0.0470319231972098,0.14648600853979582,0.0320599433034658,0.2084096297621727
study1,sorting,mlp,,,,,train_ac_effective_rank,4,4,1.6407821478640647,0.7196119553843369,1.3841218093117806,1.2494960995572089,1.7754078576186365,1.1992508986559425,2.3470286820990847
study1,sorting,mlp,,,,,val_pred_loss,4,4,0.0016849558451212752,0.0004674879416862808,0.0016286519821733,0.0013307157496455751,0.001982892077649,0.0013010635157115502,0.0020688481745309998
study1,sorting,mlp,,,,,val_cov_trace,4,4,0.30953697115182877,0.11537188473729815,0.266702614724636,0.24381168931722635,0.33242789655923843,0.23782023787498469,0.4156383238732815
study1,sorting,mlp,,,,,val_cov_min_eig,4,4,1.0828726693112856e-08,6.2935156547343975e-09,9.069711870424157e-09,6.02743577271525e-09,1.3871002790821763e-08,5.971933281223585e-09,1.5909521255963458e-08
study1,sorting,mlp,,,,,val_cov_max_eig,4,4,0.18473972007632253,0.12372950305554929,0.13338873535394663,0.11966921761631964,0.19845923781394953,0.11292646080255501,0.30246295779943466
study1,sorting,mlp,,,,,val_effective_rank,4,4,4.40676542497833,1.1924001560828414,4.734870594925242,4.095104618603525,5.046531401300047,3.3919513459592885,5.228656558009005
study1,sorting,spiking,,,,,epochs,4,4,3.0,0.0,3.0,3.0,3.0,3.0,3.0
study1,sorting,spiking,,,,,train_samples,4,4,384.0,0.0,384.0,384.0,384.0,384.0,384.0
study1,sorting,spiking,,,,,val_samples,4,4,128.0,0.0,128.0,128.0,128.0,128.0,128.0
study1,sorting,spiking,,,,,train_loss,4,4,0.47927952495714027,0.0011071231327782211,0.47905347744623816,0.47864321991801256,0.4796897824853658,0.47849176079034805,0.4802933366348346
study1,sorting,spiking,,,,,train_pred_loss,4,4,0.0021314702292632,0.0005022967572937979,0.00229398061734775,0.002011182754358675,0.002414268092252275,0.0016466042385823998,0.00245414868307605
