phase,study,task,head_type,seed,status,label_fraction,head_epochs,train_loss,train_acc,test_loss,test_acc,train_mse,test_mse,test_mae,exactish_rate
phase1_pilot,study2,maze_action,classification,3,complete,0.1,8,1.3768218755722046,0.28947368264198303,1.3865749835968018,0.28125,,,,
phase1_pilot,study2,sorting_head,regression,3,complete,0.1,8,,,,,0.27842026948928833,0.2639276683330536,0.427563339471817,0.0
