phase,study,task,head_type,seed,status,label_fraction,head_epochs,train_loss,train_acc,test_loss,test_acc,train_mse,test_mse,test_mae,exactish_rate
phase1_pilot,study2,maze_action,classification,1,complete,0.1,8,1.3848568201065063,0.2631579041481018,1.3896398544311523,0.203125,,,,
phase1_pilot,study2,sorting_head,regression,1,complete,0.1,8,,,,,0.2570537328720093,0.24199619889259338,0.4051052927970886,0.0
